Date,Group1
2023-09-19T10:00:00+02:00,107.0
2023-09-19T13:00:00+02:00,138.0
2023-09-19T14:00:00+02:00,122.0
2023-09-19T15:00:00+02:00,106.0
2023-09-19T16:00:00+02:00,96.0
2023-09-19T17:00:00+02:00,68.0
2023-09-19T18:00:00+02:00,105.0
2023-09-19T19:00:00+02:00,107.0
2023-09-19T20:00:00+02:00,109.0
2023-09-19T21:00:00+02:00,137.0
2023-09-19T22:00:00+02:00,118.0
2023-09-19T23:00:00+02:00,147.0
2023-09-20T00:00:00+02:00,125.0
2023-09-20T01:00:00+02:00,153.0
2023-09-20T02:00:00+02:00,172.0
2023-09-20T03:00:00+02:00,148.0
2023-09-20T04:00:00+02:00,194.0
2023-09-20T05:00:00+02:00,225.0
2023-09-20T06:00:00+02:00,208.0
2023-09-20T07:00:00+02:00,226.0
2023-09-20T08:00:00+02:00,227.0
2023-09-20T09:00:00+02:00,230.0
2023-09-20T10:00:00+02:00,236.0
2023-09-20T11:00:00+02:00,239.0
2023-09-20T12:00:00+02:00,239.0
2023-09-20T13:00:00+02:00,239.0
2023-09-20T14:00:00+02:00,239.0
2023-09-20T15:00:00+02:00,239.0
2023-09-20T16:00:00+02:00,238.0
2023-09-20T17:00:00+02:00,238.0
2023-09-20T18:00:00+02:00,240.0
2023-09-20T19:00:00+02:00,240.0
2023-09-20T20:00:00+02:00,233.0
2023-09-20T21:00:00+02:00,202.0
2023-09-20T22:00:00+02:00,240.0
2023-09-20T23:00:00+02:00,240.0
2023-09-21T00:00:00+02:00,236.0
2023-09-21T01:00:00+02:00,233.0
2023-09-21T02:00:00+02:00,239.0
2023-09-21T03:00:00+02:00,234.0
2023-09-21T04:00:00+02:00,134.0
2023-09-21T05:00:00+02:00,38.0
2023-09-21T06:00:00+02:00,22.0
2023-09-21T07:00:00+02:00,35.0
2023-09-21T08:00:00+02:00,39.0
2023-09-21T09:00:00+02:00,31.0
2023-09-21T10:00:00+02:00,35.0
2023-09-21T11:00:00+02:00,49.0
2023-09-21T12:00:00+02:00,79.0
2023-09-21T13:00:00+02:00,39.0
2023-09-21T14:00:00+02:00,132.0
2023-09-21T15:00:00+02:00,56.0
2023-09-21T16:00:00+02:00,47.0
2023-09-21T17:00:00+02:00,139.0
2023-09-21T18:00:00+02:00,215.0
2023-09-21T19:00:00+02:00,142.0
2023-09-21T20:00:00+02:00,177.0
2023-09-21T21:00:00+02:00,214.0
2023-09-21T22:00:00+02:00,200.0
2023-09-21T23:00:00+02:00,201.0
2023-09-22T00:00:00+02:00,155.0
2023-09-22T01:00:00+02:00,187.0
2023-09-22T02:00:00+02:00,148.0
2023-09-22T03:00:00+02:00,202.0
2023-09-22T04:00:00+02:00,107.0
2023-09-22T05:00:00+02:00,108.0
2023-09-22T06:00:00+02:00,149.0
2023-09-22T07:00:00+02:00,147.0
2023-09-22T08:00:00+02:00,157.0
2023-09-22T09:00:00+02:00,182.0
2023-09-22T10:00:00+02:00,170.0
2023-09-22T11:00:00+02:00,154.0
2023-09-22T12:00:00+02:00,144.0
2023-09-22T13:00:00+02:00,100.0
2023-09-22T14:00:00+02:00,64.0
2023-09-22T15:00:00+02:00,73.0
2023-09-22T16:00:00+02:00,89.0
2023-09-22T17:00:00+02:00,122.0
2023-09-22T18:00:00+02:00,121.0
2023-09-22T19:00:00+02:00,131.0
2023-09-22T20:00:00+02:00,125.0
2023-09-22T21:00:00+02:00,126.0
2023-09-22T22:00:00+02:00,75.0
2023-09-22T23:00:00+02:00,89.0
2023-09-23T00:00:00+02:00,80.0
2023-09-23T01:00:00+02:00,63.0
2023-09-23T02:00:00+02:00,41.0
2023-09-23T03:00:00+02:00,35.0
2023-09-23T04:00:00+02:00,33.0
2023-09-23T05:00:00+02:00,26.0
2023-09-23T06:00:00+02:00,8.0
2023-09-23T07:00:00+02:00,7.0
2023-09-23T08:00:00+02:00,3.0
2023-09-23T09:00:00+02:00,0.0
2023-09-23T10:00:00+02:00,0.0
2023-09-23T11:00:00+02:00,0.0
2023-09-23T12:00:00+02:00,0.0
2023-09-23T13:00:00+02:00,0.0
2023-09-23T14:00:00+02:00,3.0
2023-09-23T15:00:00+02:00,6.0
2023-09-23T16:00:00+02:00,11.0
2023-09-23T17:00:00+02:00,19.0
2023-09-23T18:00:00+02:00,16.0
2023-09-23T19:00:00+02:00,14.0
2023-09-23T20:00:00+02:00,14.0
2023-09-23T21:00:00+02:00,25.0
2023-09-23T22:00:00+02:00,45.0
2023-09-23T23:00:00+02:00,53.0
2023-09-24T00:00:00+02:00,54.0
2023-09-24T01:00:00+02:00,44.0
2023-09-24T02:00:00+02:00,54.0
2023-09-24T03:00:00+02:00,48.0
2023-09-24T04:00:00+02:00,48.0
2023-09-24T05:00:00+02:00,61.0
2023-09-24T06:00:00+02:00,69.0
2023-09-24T07:00:00+02:00,73.0
2023-09-24T08:00:00+02:00,65.0
2023-09-24T09:00:00+02:00,74.0
2023-09-24T10:00:00+02:00,97.0
2023-09-24T11:00:00+02:00,122.0
2023-09-24T12:00:00+02:00,182.0
2023-09-24T13:00:00+02:00,177.0
2023-09-24T14:00:00+02:00,178.0
2023-09-24T15:00:00+02:00,200.0
2023-09-24T16:00:00+02:00,175.0
